fileNumber,mechanism,depth,T,lossMethod,batch,seedInBatch,bulkBestLoss,bulkCorrelationLoss,bulkGlobalsumLoss,trustCheckDiff,storedActualVmemFeatureRMS_mV,featureRMS_mV,featureBestTimestep,eyesRMS_mV,noseRMS_mV,mouthRMS_mV,eyesBestRMS_mV,eyesBestTimestep,noseBestRMS_mV,noseBestTimestep,mouthBestRMS_mV,mouthBestTimestep
1600,Gpol-only,1,100,correlation,1,0,0.9465511226887319,0.9467734552098062,3.6004564881501246,0.00022233252107428658,36.02492301795902,35.177168069298375,338,37.23992466639435,7.914105230095437,44.87638224133206,37.154689241122306,344,7.785274770437867,365,8.498055371838438,2778
1601,Gpol-only,1,100,correlation,1,1,0.9190532427412347,0.9193287211447919,3.5427085639754576,0.00027547840355723885,35.57258091541346,35.06343964222018,329,36.91490577233404,7.977963856894885,45.16488800776727,36.85373154836507,334,7.75785310927742,363,9.05496328130787,2882
1602,Gpol-only,1,100,correlation,1,2,1.0715502088492381,1.0714738320174517,3.7396649562478665,7.637683178640664e-05,36.9259258746185,35.89851892440065,2748,43.99091722314495,27.807710206149228,8.952441523991565,39.05979050606919,343,7.756719969662503,360,8.801448838056793,2761
1603,Gpol-only,1,100,correlation,1,3,0.8756581178768713,0.8763794239425697,3.4824601728003275,0.0007213060656984238,36.44916732242966,35.70315993271781,336,37.87251272877551,7.950046927442274,45.39380026303686,37.781622892404705,342,7.787912577530493,367,8.399444031005556,2894
1604,Gpol-only,1,100,correlation,1,4,1.0448858316398704,1.045376759886684,3.6281823015294696,0.0004909282468137377,35.99253950800374,33.749293085754175,332,36.253329722688505,7.791989218352912,41.83152860877923,36.184370277978886,338,7.699248096303814,357,8.544392486193162,2999
1605,Gpol-only,1,100,correlation,1,5,1.003250976870292,1.0031032643912434,3.707525283399678,0.00014771247904854512,47.917782211935624,35.7100805269144,333,38.26956687838251,7.886640919229245,44.534116547142574,37.75914377765919,2596,7.748691149458318,360,38.15717884298322,1654
1696,Gpol-only,1,100,correlation,2,0,0.9086646479967364,0.9095056138478549,3.51215369783924,0.0008409658511184803,35.09981683738064,34.79755090621206,331,36.45440483439172,7.96268027318879,45.205352931369426,36.368926382151365,337,7.763504531446983,363,8.486899606269029,2835
1697,Gpol-only,1,100,correlation,2,1,0.6665987929872889,0.6659723016013689,3.4377777066189283,0.0006264913859199694,35.27186289101292,34.684479252968735,2553,36.905280989422316,43.557092556552554,9.210942034498391,35.53067956636081,2342,7.769504753597629,363,8.15473009909865,2622
1698,Gpol-only,1,100,correlation,2,2,0.9161116955162764,0.9167971289347473,3.58949141871712,0.0006854334184709376,40.3424610029084,35.5104713369462,334,38.02595109979824,7.8659314141834376,44.34902387733465,34.883861420418825,2258,7.745756315991403,360,36.98259434728816,1725
1699,Gpol-only,1,100,correlation,2,3,0.9056175559806877,0.9059503707288245,3.5495221263115413,0.00033281474813673384,33.358561063066304,33.03374790525381,2906,25.98060841581953,29.486164116617864,49.22384678576182,25.97991413031653,2905,7.763281208919232,363,36.672258829915144,1755
1700,Gpol-only,1,100,correlation,2,4,0.8133729953087359,0.8134965750290613,3.518238174452213,0.00012357972032539521,36.72786775408883,35.68806855453684,338,37.98134695783351,7.871684490056174,45.10869589544384,24.446699057050928,2700,7.769112712815707,363,38.215098484873465,1662
1701,Gpol-only,1,100,correlation,2,5,0.9352230354949187,0.9352129588862428,3.568214946840588,1.0076608675912979e-05,30.043275422835038,30.043275422832814,2999,35.126875478480315,29.075349887596023,8.738241881655954,33.60578697264851,2750,7.770841529974512,362,8.478666544139536,2921
1606,Gpol-only,1,100,globalsum,1,0,3.508065082549157,0.9370547776329865,3.508052288957899,1.2793591257942438e-05,34.43477724526,34.43477724526,2999,42.288833220210115,24.737100523528238,12.356086584919295,37.23594638573153,336,7.728196875102424,358,12.356086584919295,2999
1607,Gpol-only,1,100,globalsum,1,1,3.50828415516556,0.8656004794452168,3.5076944494877185,0.0005897056778416676,36.58255544720691,29.437625139132532,1787,25.57205573343229,28.04756391565478,38.904134456254,25.566425115850876,1789,7.743408047481576,361,38.35478711137328,1657
1608,Gpol-only,1,100,globalsum,1,2,3.438768674970495,0.801010671592657,3.438730172721722,3.850224877322006e-05,27.722173059317466,27.448470889061355,2924,10.527962791560949,30.110138008377067,48.10160954026593,8.716618041199757,2795,7.767803866054203,363,38.062857705810224,1682
1609,Gpol-only,1,100,globalsum,1,3,3.513098736152297,0.9308512574454632,3.5140752078846713,0.0009764717323741401,36.797572331900234,34.560533592704225,332,36.501831629873706,7.905455556562125,44.25482410471802,36.39524409945874,339,7.739636368752053,361,8.485570612935168,2861
1610,Gpol-only,1,100,globalsum,1,4,3.508144533395505,0.9053172266804581,3.5095155445535693,0.0013710111580644835,35.077313384840565,35.077313384840565,2999,42.15280307033508,30.28297247002435,9.306003113117328,38.16073834716331,341,7.750683341742824,361,8.39232505162867,2828
1611,Gpol-only,1,100,globalsum,1,5,3.494269920667775,0.9239272847543886,3.4945527300781096,0.0002828094103346501,33.39030830930897,30.934916478034165,1915,28.184699530796834,26.39838863081869,40.62808444495706,28.10160517199266,1920,7.750450705563385,361,26.4229033095281,2999
1702,Gpol-only,1,100,globalsum,2,0,3.4824184224254,0.8733142827671595,3.4824948784600176,7.64560346175891e-05,34.921492285627,34.92149228562699,2999,41.957454184159495,30.26012672855436,8.99442839688768,37.93578039442892,340,7.759357293652762,361,8.419487831759628,2884
1703,Gpol-only,1,100,globalsum,2,1,3.4788113611051132,0.8845324430096323,3.4791253016787,0.0003139405735868017,35.16271091311444,34.26411006434975,331,36.568508239938645,7.897987656716126,43.01638584227189,36.455717609559606,338,7.7333615771781,361,8.420929541957559,2856
1704,Gpol-only,1,100,globalsum,2,2,3.7019279095901876,1.0715473664082908,3.702643886211613,0.0007159766214255292,35.7224073255808,35.623862951426574,2955,42.71094002955651,29.83047556957769,12.954633126927051,39.08435642621436,342,7.74258006275728,359,8.528934944589144,2754
1705,Gpol-only,1,100,globalsum,2,3,3.3931524367067394,0.7725656289646957,3.3929578406745433,0.00019459603219607047,24.834357094931317,24.834357094931317,2999,10.542678982983897,40.22596390087816,31.0422558033919,8.4648149448887,2808,7.731192856216002,359,31.0422558033919,2999
1706,Gpol-only,1,100,globalsum,2,4,3.4803533544442793,0.8266009217523402,3.4803505171508946,2.8372933846831927e-06,34.356560681074775,34.334811210030765,2832,22.06680359920431,42.036090745183465,49.354703617452095,21.819453656037417,2803,7.7809995098563505,365,38.19568805491265,1660
1707,Gpol-only,1,100,globalsum,2,5,3.4823948402311595,0.7192039841630672,3.4825633618368457,0.00016852160568614494,40.47769145132225,34.91556370724703,333,37.247680842427286,7.882884429297133,43.9007016649924,37.14043184486338,339,7.745982894491409,360,8.487703368642602,2625
1612,Gpol-only,2,100,correlation,1,0,0.8624633511994259,0.8629831123646485,3.615881102698621,0.0005197611652226763,32.709629682242735,25.050308925866464,2594,8.28745396243915,51.1844996114171,11.19877277635024,8.273148929264314,2600,8.226983853068944,351,8.219130808339695,2330
1613,Gpol-only,2,100,correlation,1,1,0.7422593362355807,0.7418102318799515,3.41714284435704,0.0004491043556291707,36.83793645271095,27.88356582416261,1496,27.424302734189048,38.90664105843873,10.440086270134744,25.882777505010036,1278,8.054579196720695,377,9.826599674999818,1517
1614,Gpol-only,2,100,correlation,1,2,1.0790423618501728,1.0789875745789022,3.8074951422497656,5.4787271270617666e-05,44.79543988937225,29.322140586391864,1447,26.286007478820697,39.07088597561597,25.362670034140777,25.569169804313336,1334,8.166987650053922,362,25.353412464068683,1451
1615,Gpol-only,2,100,correlation,1,3,0.7053225154936126,0.7054215389235601,3.372562521089623,9.902342994749791e-05,35.2258886956585,26.60792405009336,1641,28.01633761535415,31.60226527949816,14.563788565824561,24.672201718291177,2662,8.232319972666117,354,8.38299719778693,1095
1616,Gpol-only,2,100,correlation,1,4,0.7353529359969488,0.7352843569110216,3.4252107210312692,6.857908592727835e-05,38.10273701353609,31.75329153107566,1424,25.080550075387723,38.92909928306386,38.889180471182286,24.508896430306873,1348,8.233715700378605,352,38.06433970475494,1074
1617,Gpol-only,2,100,correlation,1,5,0.6791279190306798,0.6790432049144091,3.5101202343704037,8.471411627075653e-05,35.21474379174136,23.763421198025195,2650,10.46994302944099,47.23553817210289,10.571293880821097,8.395681542211017,2685,8.134469735546135,360,8.337213866654437,2435
