fileNumber,lossMethod,mechanism,depth,T,bulkBestLoss,numSimIters,featureRMS_mV,featureBestTimestep
1862,facialFeatureOnly,Gpol-only,2,301,0.00959957505761578,3000,9.4777,2935
1863,facialFeatureOnly,Gpol-only,2,301,0.02199045851415832,3000,21.5025,2889
1864,facialFeatureOnly,Gpol+Vmem,1,301,0.030281085379914478,3000,29.2713,2660
1865,facialFeatureOnly,Gpol+Vmem,1,301,0.041050764837266565,3000,36.5118,294
1866,facialFeatureOnly,Gpol+Vmem,1,301,0.031692228941638145,3000,30.8668,2764
1867,facialFeatureOnly,Gpol+Vmem,1,301,0.03393585862284414,3000,33.8577,2999
1868,facialFeatureOnly,Gpol+Vmem,1,301,0.03244367991950186,3000,31.9597,2958
1869,facialFeatureOnly,Gpol+Vmem,1,301,0.03876970183983138,3000,27.3021,332
1870,facialFeatureOnly,Gpol+Vmem,1,301,0.02448820796795313,3000,20.022,2928
1871,facialFeatureOnly,Gpol+Vmem,1,301,0.020827951442188422,3000,20.5007,2917
1872,facialFeatureOnly,Gpol+Vmem,1,301,0.03456125832487081,3000,31.1792,2860
1873,facialFeatureOnly,Gpol+Vmem,1,301,0.03414298456420764,3000,33.6786,2885
1874,facialFeatureOnly,Gpol+Vmem,1,301,0.03655690784822547,3000,33.1523,2608
1875,facialFeatureOnly,Gpol+Vmem,1,301,0.029367202336720303,3000,27.6114,1536
1876,facialFeatureOnly,Gpol+Vmem,2,301,0.030833259992486522,3000,29.1079,2850
1877,facialFeatureOnly,Gpol+Vmem,2,301,0.021289478863655256,3000,21.2091,2916
1878,facialFeatureOnly,Gpol+Vmem,2,301,0.026842255392293648,3000,26.4029,2930
1879,facialFeatureOnly,Gpol+Vmem,2,301,0.028810144169957613,3000,27.5791,2673
1880,facialFeatureOnly,Gpol+Vmem,2,301,0.010893070305625363,3000,9.3391,2884
1881,facialFeatureOnly,Gpol+Vmem,2,301,0.02088269961787758,3000,20.6143,2829
1882,facialFeatureOnly,Gpol+Vmem,2,301,0.031103680003483427,3000,30.4958,2972
1883,facialFeatureOnly,Gpol+Vmem,2,301,0.026672952108912264,3000,26.3239,2893
1884,facialFeatureOnly,Gpol+Vmem,2,301,0.03669915423679414,3000,36.323,2999
1885,facialFeatureOnly,Gpol+Vmem,2,301,0.025581952862097232,3000,20.973,1070
1886,facialFeatureOnly,Gpol+Vmem,2,301,0.025318076854950713,3000,23.3165,2850
1887,facialFeatureOnly,Gpol+Vmem,2,301,0.03591347403630761,3000,34.9721,2974
1888,facialFeatureBalanced,Gpol-only,1,100,0.03222622082659307,3000,29.1454,2877
1889,facialFeatureBalanced,Gpol-only,1,100,0.032703781401565955,3000,31.3129,2999
1890,facialFeatureBalanced,Gpol-only,1,100,0.032255486691494514,3000,25.8912,2989
1891,facialFeatureBalanced,Gpol-only,1,100,0.02902987533483392,3000,25.1642,2935
1892,facialFeatureBalanced,Gpol-only,1,100,0.03438103326371091,3000,30.7485,2927
1893,facialFeatureBalanced,Gpol-only,1,100,0.03322406201435406,3000,31.8445,2999
1894,facialFeatureBalanced,Gpol-only,1,100,0.033544297961275754,3000,32.7821,2950
1895,facialFeatureBalanced,Gpol-only,1,100,0.037002883367491884,3000,36.2605,336
1896,facialFeatureBalanced,Gpol-only,1,100,0.03179473960516875,3000,31.1347,2979
1897,facialFeatureBalanced,Gpol-only,1,100,0.031600334892978865,3000,30.586,2999
